Date,Open,High,Low,Close,Volume
2015-01-01,366.75559928795536,369.18642718982636,364.51106376443573,367.7707824707031,2002764
2015-01-02,367.32377635301776,376.0877731142453,367.32377635301776,374.9980773925781,6778320
2015-01-05,374.38337938498074,378.1273948554082,368.3482380919063,371.7756042480469,9937024
2015-01-06,368.81394527486935,369.74529362152305,360.26416290498895,364.0081787109375,9667316
2015-01-07,366.0198682787039,367.8359973961173,363.22582348268327,365.7497863769531,7249916
2015-01-08,369.8569917030436,371.98047014128355,363.2257970833765,367.59381103515625,13564920
2015-01-09,368.83256582738363,392.8427306301899,356.3431982047694,386.4071044921875,44863328
2015-01-12,389.6761792611479,394.74270557508004,386.5095946304407,394.1373291015625,12758888
2015-01-13,392.61921788155007,392.61921788155007,386.50956363586636,389.09869384765625,8801236
2015-01-14,390.88685694665065,397.3131598128215,389.78788421210663,396.50286865234375,9921260
2015-01-15,397.7229370578532,401.0013010014768,393.44805779869864,397.5459899902344,8342452
2015-01-16,400.1072117661418,402.3424475860644,393.4015043063741,394.57501220703125,6690960
2015-01-19,394.8915847252155,397.1920326662475,390.16035468352254,391.6318664550781,4087744
2015-01-20,392.4701518339338,397.3131627250977,391.4363461831223,395.6739807128906,6804504
2015-01-21,397.03384652578615,405.3135251988581,394.5192056962773,404.18658447265625,8494908
2015-01-22,405.09929876484193,410.35209451086234,402.58465814936454,409.13201904296875,9958396
2015-01-23,409.7932208695288,414.44996201577345,403.29242841976634,412.5965881347656,9486328
2015-01-27,413.7048725509376,413.7048725509376,396.7729803789368,397.965087890625,13739968
2015-01-28,400.4797601387146,401.37386358212933,396.81025701310676,399.464599609375,13134356
2015-01-29,399.5484362113062,400.46113939034274,396.30736219187736,399.6415710449219,15369424
2015-01-30,402.6219122091063,402.81750446776584,396.18628568766394,398.97100830078125,10833744
2015-02-02,398.89640901873264,400.85224011595267,396.01855235659133,398.0302734375,8702540
2015-02-03,398.0303330515552,398.6077417001958,391.5388173424229,395.0592956542969,5265956
2015-02-04,398.59847830571596,400.4798203031201,396.08383757358007,399.14801025390625,5160016
2015-02-05,400.62883159913724,413.518684191344,400.1072674067599,408.638427734375,11875936
2015-02-06,410.72461085265,418.69696160067997,407.6511613836846,415.4744873046875,7453728
2015-02-09,409.79325666390275,419.8518184183804,409.79325666390275,418.9018249511719,6536868
2015-02-10,417.80281571567775,428.0476462392454,417.43027642391166,424.3781433105469,8516920
2015-02-11,424.7878839817322,427.15349914725385,420.2708455311481,425.5981750488281,5796972
2015-02-12,425.2537643496793,432.50896073911247,423.39106717775775,430.5065612792969,6287536
2015-02-13,428.345730434302,433.3936109595481,425.81244485543914,427.69378662109375,5657516
2015-02-16,424.75070215726515,429.7054476802714,421.94733476246444,424.46197509765625,6244276
2015-02-18,426.6599237553446,429.3421883228497,420.6247602644801,427.7682189941406,8613764
2015-02-19,427.30252759643986,434.75331273325656,426.93931091621675,433.02099609375,9673624
2015-02-20,433.7289021836743,435.1259246300464,424.1173695622374,425.27227783203125,6971628
