Model,RMSE,MAE,R2 Score
Linear Regression,19.36003207436621,13.988612510151365,0.9611508062713986
Random Forest,105.45014357695183,84.99684794627836,-0.15256178498612294
Gradient Boosting,109.39268020142669,88.94602991817769,-0.24035611183224548
LSTM,36.594864260836204,0.020873237303424205,0.8615754344738311
