Date,Close
2015-01-01,189.99978637695312
2015-01-02,189.49693298339844
2015-01-05,187.42123413085935
2015-01-06,178.9152374267578
2015-01-07,182.80979919433597
2015-01-08,180.1884613037109
2015-01-09,184.09375
2015-01-12,181.9538726806641
2015-01-13,180.4238739013672
2015-01-14,178.6691436767578
2015-01-15,184.93899536132807
2015-01-16,186.1052398681641
2015-01-19,188.23443603515625
2015-01-20,193.24169921875
2015-01-21,194.0334930419922
2015-01-22,189.11178588867188
2015-01-23,189.78582763671875
2015-01-27,190.2458953857422
2015-01-28,194.05487060546875
2015-01-29,198.88031005859372
2015-01-30,195.85238647460935
2015-02-02,194.3116607666016
2015-02-03,200.63504028320312
2015-02-04,198.7519073486328
2015-02-05,197.6605987548828
2015-02-06,194.70755004882807
2015-02-09,191.8829040527344
2015-02-10,188.7372894287109
2015-02-11,192.7388458251953
2015-02-12,194.5470428466797
2015-02-13,196.33384704589844
2015-02-16,193.188232421875
2015-02-18,192.942138671875
2015-02-19,193.02772521972656
2015-02-20,186.83279418945312
2015-02-23,182.1999664306641
2015-02-24,180.06005859375
2015-02-25,180.4238739013672
2015-02-26,180.17779541015625
2015-02-27,183.0772705078125
2015-03-02,184.93899536132807
2015-03-03,192.76026916503903
2015-03-04,189.98912048339844
2015-03-05,189.3685302734375
2015-03-09,186.0945281982422
2015-03-10,183.84765625
2015-03-11,183.16290283203125
2015-03-12,184.8426818847656
2015-03-13,181.9110565185547
2015-03-16,180.1992034912109
2015-03-17,183.35546875
2015-03-18,185.88055419921875
2015-03-19,183.20571899414065
2015-03-20,182.7670440673828
2015-03-23,180.1670684814453
2015-03-24,181.4510040283203
2015-03-25,180.7983245849609
2015-03-26,177.46011352539062
2015-03-27,173.6939239501953
2015-03-30,173.49066162109375
2015-03-31,176.75396728515625
2015-04-01,178.90455627441406
2015-04-06,176.465087890625
2015-04-07,178.21975708007812
2015-04-08,185.2920837402344
2015-04-09,191.5405120849609
2015-04-10,193.5199279785156
2015-04-13,197.40382385253903
2015-04-15,197.64990234375
2015-04-16,198.65560913085935
2015-04-17,198.33465576171875
2015-04-20,189.51834106445312
2015-04-21,187.5496368408203
2015-04-22,188.25582885742188
2015-04-23,187.67803955078125
2015-04-24,188.07391357421875
2015-04-27,187.30355834960935
2015-04-28,185.1422882080078
2015-04-29,181.8896484375
2015-04-30,184.5324249267578
2015-05-04,190.6524658203125
2015-05-05,190.9092559814453
2015-05-06,188.36282348632807
2015-05-07,186.32989501953125
2015-05-08,192.78369140625
2015-05-11,194.13796997070312
2015-05-12,188.2333221435547
2015-05-13,191.7869415283203
2015-05-14,190.2917938232422
2015-05-15,189.37091064453125
2015-05-18,193.1845550537109
2015-05-19,194.0513153076172
2015-05-20,196.93316650390625
2015-05-21,194.31130981445312
2015-05-22,195.8497467041016
2015-05-25,193.8237762451172
2015-05-26,191.6785888671875
2015-05-27,191.8302764892578
2015-05-28,189.7717742919922
2015-05-29,190.0317840576172
2015-06-01,195.5030517578125
2015-06-02,194.72300720214844
2015-06-03,194.22462463378903
2015-06-04,197.76739501953125
2015-06-05,196.69483947753903
2015-06-08,191.8627777099609
2015-06-09,191.4835662841797
2015-06-10,196.2722930908203
2015-06-11,190.06430053710935
2015-06-12,192.8161773681641
2015-06-15,195.3947296142578
2015-06-16,195.87142944335935
2015-06-17,201.77610778808597
2015-06-18,212.12271118164065
2015-06-19,215.9580535888672
2015-06-22,214.8854522705078
2015-06-23,215.60047912597656
2015-06-24,214.71209716796875
2015-06-25,217.6698455810547
2015-06-26,216.8355865478516
2015-06-29,214.7012481689453
2015-06-30,216.70558166503903
2015-07-01,217.9081878662109
2015-07-02,219.0349578857422
2015-07-03,218.24403381347656
2015-07-06,220.0533599853516
2015-07-07,217.38815307617188
2015-07-08,215.9472198486328
2015-07-09,213.9537048339844
2015-07-10,217.07394409179688
2015-07-13,218.20071411132807
2015-07-14,216.20721435546875
2015-07-15,219.09996032714844
2015-07-16,221.8193206787109
2015-07-17,221.3859405517578
2015-07-20,222.0468597412109
2015-07-21,218.37403869628903
2015-07-22,227.60479736328125
2015-07-23,226.4997100830078
2015-07-24,222.11183166503903
2015-07-27,217.8431854248047
2015-07-28,218.90493774414065
2015-07-29,215.81716918945312
2015-07-30,216.71641540527344
2015-07-31,217.0847930908203
2015-08-03,217.21481323242188
2015-08-04,214.08370971679688
2015-08-05,214.02952575683597
2015-08-06,212.12271118164065
2015-08-07,213.29281616210935
2015-08-10,209.945068359375
2015-08-11,209.3166656494141
2015-08-12,204.3112945556641
2015-08-13,202.24192810058597
2015-08-14,209.52252197265625
2015-08-17,206.00140380859372
2015-08-18,204.5712890625
2015-08-19,206.8465118408203
2015-08-20,198.5474853515625
2015-08-21,196.73814392089844
2015-08-24,179.75015258789062
2015-08-25,183.78045654296875
2015-08-26,184.9180450439453
2015-08-27,188.3308258056641
2015-08-28,189.0350646972656
2015-08-31,185.4597930908203
2015-09-01,181.9820098876953
2015-09-02,184.08383178710935
2015-09-03,185.0155792236328
2015-09-04,181.12608337402344
2015-09-07,180.54104614257807
2015-09-08,183.8779754638672
2015-09-09,189.3925628662109
2015-09-10,187.86495971679688
2015-09-11,186.5540313720703
2015-09-14,187.1824188232422
2015-09-15,187.86495971679688
2015-09-16,189.06756591796875
2015-09-18,194.0188140869141
2015-09-21,190.2701416015625
2015-09-22,183.72628784179688
2015-09-23,184.25717163085935
2015-09-24,181.44027709960935
2015-09-28,180.7685546875
2015-09-29,182.17698669433597
2015-09-30,186.8465576171875
2015-10-01,187.3665771484375
2015-10-05,192.41531372070312
2015-10-06,194.59300231933597
2015-10-07,198.0057830810547
2015-10-08,192.65367126464844
2015-10-09,192.2745056152344
2015-10-12,193.22787475585935
2015-10-13,193.62876892089844
2015-10-14,195.65472412109372
2015-10-15,195.81724548339844
2015-10-16,198.2224578857422
2015-10-19,208.7749481201172
2015-10-20,207.30148315429688
2015-10-21,206.93313598632807
2015-10-23,207.0739898681641
2015-10-26,204.3004608154297
2015-10-27,203.5854034423828
2015-10-28,203.02198791503903
2015-10-29,203.8995819091797
2015-10-30,205.35134887695312
2015-11-02,207.9732208251953
2015-11-03,209.57669067382807
2015-11-04,206.13140869140625
2015-11-05,202.9461669921875
2015-11-06,206.3697662353516
2015-11-09,208.28741455078125
2015-11-10,199.94509887695312
2015-11-13,202.17694091796875
2015-11-16,202.4477996826172
2015-11-17,201.02850341796875
2015-11-18,197.61575317382807
2015-11-19,202.5452880859375
2015-11-20,205.16714477539065
2015-11-23,206.6622772216797
2015-11-24,209.68502807617188
2015-11-26,214.2245635986328
2015-11-27,212.1444091796875
2015-11-30,209.55502319335935
2015-12-01,209.2949981689453
2015-12-02,211.90603637695312
2015-12-03,211.7435302734375
2015-12-04,209.1974639892578
2015-12-07,206.29391479492188
2015-12-08,203.87789916992188
2015-12-09,198.4607696533203
2015-12-10,205.92556762695312
2015-12-11,206.4889373779297
2015-12-14,206.95481872558597
2015-12-15,211.4618377685547
2015-12-16,212.0577087402344
2015-12-17,218.78575134277344
2015-12-18,214.9287872314453
2015-12-21,214.9721221923828
2015-12-22,213.9320373535156
2015-12-23,217.50732421875
2015-12-24,216.80307006835935
2015-12-28,218.93746948242188
2015-12-29,220.02084350585935
2015-12-30,217.65899658203125
2015-12-31,219.8474884033203
2016-01-01,220.0100250244141
2016-01-04,215.66549682617188
2016-01-05,217.79983520507807
2016-01-06,223.6611328125
2016-01-07,219.5549774169922
2016-01-08,222.2635498046875
2016-01-11,227.8647918701172
2016-01-12,226.5322265625
2016-01-13,233.33609008789065
2016-01-14,230.04248046875
2016-01-15,232.56686401367188
2016-01-18,220.3350067138672
2016-01-19,226.13131713867188
2016-01-20,217.6698455810547
2016-01-21,213.26031494140625
2016-01-22,217.58316040039065
2016-01-25,217.53982543945312
2016-01-27,216.5430908203125
2016-01-28,220.3458709716797
2016-01-29,224.35452270507807
2016-02-01,223.2494354248047
2016-02-02,216.93312072753903
2016-02-03,212.65359497070312
2016-02-04,210.8442840576172
2016-02-05,210.37843322753903
2016-02-08,208.24407958984372
2016-02-09,207.474853515625
2016-02-10,208.59078979492188
2016-02-11,200.3351287841797
2016-02-12,196.4348297119141
2016-02-15,205.1454925537109
2016-02-16,201.6352386474609
2016-02-17,206.41310119628903
2016-02-18,203.70455932617188
2016-02-19,204.6254425048828
2016-02-22,208.5149383544922
2016-02-23,205.77389526367188
2016-02-24,206.42393493652344
2016-02-25,204.5712890625
2016-02-26,205.92556762695312
2016-02-29,209.45751953125
2016-03-01,212.6319122314453
2016-03-02,217.0089569091797
2016-03-03,219.4683380126953
2016-03-04,218.07069396972656
2016-03-08,222.53439331054688
2016-03-09,225.7196350097656
2016-03-10,219.2299652099609
2016-03-11,219.82583618164065
2016-03-14,220.96343994140625
2016-03-15,221.12594604492188
2016-03-16,221.39678955078125
2016-03-17,222.62957763671875
2016-03-18,225.0837554931641
2016-03-21,227.29690551757807
2016-03-22,229.6086578369141
2016-03-23,225.52200317382807
2016-03-28,223.5937042236328
2016-03-29,227.06686401367188
2016-03-30,229.4333648681641
2016-03-31,229.02798461914065
2016-04-01,226.6724090576172
2016-04-04,226.8038787841797
2016-04-05,225.0289764404297
2016-04-06,226.5189971923828
2016-04-07,227.2859649658203
2016-04-08,227.0887451171875
2016-04-11,227.95425415039065
2016-04-12,229.51007080078125
2016-04-13,233.59669494628903
2016-04-18,233.31187438964844
