Date,Open,High,Low,Close,Volume
2015-01-01,216.99579959774047,217.77160508289433,215.6381469621137,217.23538208007812,3544940
2015-01-02,216.85884712937593,221.1713725543031,216.85884712937593,220.2586669921875,5900384
2015-01-05,221.33112449819683,221.45661874219482,217.9312903140576,218.39906311035156,4796000
2015-01-06,217.68029461276407,218.26214167149823,213.92678989199874,214.9992218017578,8219680
2015-01-07,214.41739196133696,217.07563898879346,213.6301805001718,215.62672424316406,5746112
2015-01-08,217.73735655061563,221.09155282959995,216.35689194573797,220.15602111816406,9525824
2015-01-09,221.99283043675973,223.612877344769,220.55530794097444,222.6203155517578,8985184
2015-01-12,221.19421240936452,222.3350944334962,220.07614245500247,220.65798950195312,4126412
2015-01-13,221.09153219630693,221.77606141683725,218.06819480563135,219.81373596191406,5828348
2015-01-14,219.06073680016823,222.39212039497323,218.9808806357056,219.93922424316406,3685232
2015-01-15,225.8946420702849,227.76569138592055,221.5022462522516,226.6134033203125,11398476
2015-01-16,228.67837906242565,231.57622197821377,227.84552967469915,228.4844207763672,7821308
2015-01-19,231.1997524637199,232.73994326473655,228.84953817493263,229.21461486816406,4239492
2015-01-20,230.45817631654228,234.3371753238504,228.6327650189855,232.9567108154297,8505804
2015-01-21,234.42846328453206,235.6948257239506,232.363455508581,232.72854614257812,6740612
2015-01-22,233.88083860661146,235.59216181592814,232.40909786124234,233.02517700195312,6470680
2015-01-23,235.02168334110223,239.1288583897817,233.7439011188924,237.94235229492188,9987912
2015-01-27,237.98798754531677,245.91711752345654,237.50882267130763,245.0728759765625,9962400
2015-01-28,244.14880075589363,249.44248323833153,240.726154016325,241.49053955078125,11364940
2015-01-29,245.289636550973,251.1309469762645,242.095166865658,249.85316467285156,20567616
2015-01-30,249.75048692927405,249.75048692927405,242.83673094624973,245.82583618164062,10570416
2015-02-02,243.80650301078938,249.39682526045186,240.1214482836659,246.7956085205078,5710352
2015-02-03,246.08825127562392,246.932492827494,240.79456985367992,242.80250549316406,10200688
2015-02-04,242.5515443261483,246.61309590878477,241.23952985778013,243.62396240234375,6197512
2015-02-05,245.28963236935016,249.3511834700081,244.2286065283884,245.63189697265625,8059148
2015-02-06,245.74598018173702,246.19091301557077,239.59663740868004,240.3838348388672,6903120
2015-02-09,238.9006707676393,239.98450857675707,236.04846600680312,237.3262481689453,5231896
2015-02-10,235.02171409208603,242.39182364630352,235.02171409208603,240.60061645507812,9275752
2015-02-11,241.41064647093515,242.9622572305113,240.26976439876626,241.50192260742188,4161588
2015-02-12,243.03066356576022,246.86403799841878,240.20127080389918,245.51779174804688,5525740
2015-02-13,246.70433960901104,246.88689189046795,242.68844009906627,243.19044494628906,7714500
2015-02-16,245.47222306899616,247.57143515654568,242.43746530306893,243.5897674560547,7388716
2015-02-18,243.58970925734224,247.1036032791011,241.1938572314726,245.24398803710938,5381692
2015-02-19,245.06145343477897,247.54858176381504,242.7340652977739,246.3848876953125,4507004
2015-02-20,247.11507087369827,248.68949379346864,243.806512676405,244.8447265625,6206024
2015-02-23,245.7688113807079,246.78421314106404,242.3233530799455,243.5783233642578,5581564
2015-02-24,244.2172371798192,244.37694953482026,241.2052916778939,243.61256408691406,5846288
2015-02-25,244.1487482993434,245.24400616211204,239.5852202937482,240.1442413330078,4648524
2015-02-26,240.41809752837727,240.95430656033113,236.1854136722777,236.88136291503906,12426944
2015-02-27,238.54699031470355,241.53612323801974,238.54699031470355,240.49790954589844,10261784
2015-03-02,246.51033962633903,250.76583456431652,243.69236698333944,247.01234436035156,14385232
2015-03-03,247.90227239588052,249.16866272975298,245.75743622666582,247.19493103027344,6029348
2015-03-04,252.13494784768722,253.1161176096979,241.86700879506648,243.07635498046875,12277624
2015-03-05,243.00786766299865,248.71227770203618,242.43742665909488,247.59420776367188,9702452
2015-03-09,245.75738887400195,246.84122671275568,240.95426478399432,241.6387939453125,5755808
2015-03-10,242.32333960375715,242.38038370441714,238.4443407588759,240.16708374023438,5134836
2015-03-11,239.79062903320795,242.30056990111873,239.58526466421043,241.05699157714844,5465536
2015-03-12,241.88979686428084,242.75687832855635,239.83620925753152,240.63482666015625,7530836
2015-03-13,241.8669972764383,242.77970292653805,236.07131082759156,237.90814208984375,5426780
2015-03-16,238.44432208811443,241.38780302240272,237.87388112618115,239.9388885498047,5348772
2015-03-17,241.86699095684062,243.2132373262757,237.95376001357113,241.42205810546875,5369304
2015-03-18,241.9012271044754,244.58229992720962,240.31538433973995,242.67703247070312,5148332
2015-03-19,244.37694709814423,245.01585221891258,239.28860176410433,240.08721923828125,5373572
2015-03-20,239.81341800566548,241.75291758040206,238.6611159404246,240.93148803710938,6483236
2015-03-23,240.942873837057,241.73009917950665,238.67252965338673,239.07183837890625,5446740
2015-03-24,238.05647477183436,241.182480645395,236.26526755703495,236.83570861816406,8973564
2015-03-25,237.314889414575,238.83224027774057,235.27269380666624,235.991455078125,10608900
2015-03-26,234.31432856600347,235.52364665947064,228.65554323986433,229.76220703125,35800620
2015-03-27,231.58764569297708,233.54995721079604,230.02462895825124,231.51919555664062,10840896
2015-03-30,232.7399133652803,237.07526469267276,231.09704060322792,236.59609985351562,6955144
2015-03-31,237.28067063219598,237.28067063219598,231.56484002756082,233.3560333251953,5962256
2015-04-01,234.131777941236,236.58467402617262,231.14267293402568,235.76324462890625,3844196
2015-04-06,236.1625935060176,236.58471431017006,232.69430915419574,235.46664428710938,7151172
2015-04-07,235.76327338457625,236.89273546188096,233.57278544017495,235.64918518066406,6197072
2015-04-08,237.31489507900537,237.86249620026737,235.03313089519133,236.28810119628906,4106144
2015-04-09,236.90418328720298,241.63884430642713,235.0217277012464,240.9771270751953,7002784
2015-04-10,240.2697623887637,240.2697623887637,236.1283549307228,237.90814208984375,6119324
2015-04-13,237.30344835690406,238.74097077202995,236.11694225654495,237.02964782714844,4563236
2015-04-15,237.30344538464422,239.28856883441742,233.92642367428363,235.39817810058594,4893996
2015-04-16,234.56533686912212,235.83172701796377,232.283572891796,234.94183349609375,5610120
2015-04-17,233.90364009678262,234.53112524514435,231.8386463029852,232.34063720703125,4049012
2015-04-20,232.7399217297428,233.88080369900626,228.76964690599328,229.340087890625,5188880
2015-04-21,229.3172842008642,231.46214795216235,227.17242044956606,228.86093139648438,6510744
2015-04-22,229.65955337127218,232.96811126882156,226.69326008381412,231.16551208496094,6765936
2015-04-23,232.75135820979995,233.69828201208463,229.5682943138286,231.25680541992188,9627828
2015-04-24,232.4889466351742,232.5117587051584,228.2562631444049,229.6481475830078,7205244
2015-04-27,229.76221697501467,231.02859314467364,227.26368273787153,229.41995239257812,7370704
2015-04-28,228.07373279333692,230.78903770213876,225.917462886557,229.21461486816406,7942108
2015-04-29,229.08911175612732,230.34408198985113,225.4382892580217,226.6134033203125,7863564
2015-04-30,226.12282524445698,227.0355308963014,223.39611432421515,225.62083435058594,15143684
2015-05-04,226.81875046739748,230.34407867678198,226.35099162691205,228.39317321777344,3141448
2015-05-05,227.95966245104847,229.06632650642993,224.94773075210315,225.35845947265625,5138004
2015-05-06,225.3241889464487,225.3241889464487,220.30430828131261,221.46800231933594,11007696
2015-05-07,220.87477321939247,221.33112605662262,215.44417724171038,217.06422424316406,11736664
2015-05-08,219.3916128356685,225.39264948617065,217.99974233950934,224.06922912597656,11571932
2015-05-11,224.99332408370287,226.52210866513715,222.25520743401094,225.96307373046875,6731344
2015-05-12,225.8946433809338,225.8946433809338,220.64658600945754,221.77606201171875,11107568
2015-05-13,222.66595982625137,226.67046724550465,221.69621001538175,225.9517059326172,7791848
2015-05-14,225.66645747834795,227.0012838350854,222.24381151052668,226.13421630859375,4455188
2015-05-15,227.01270782172114,227.61736693068858,224.57121753602715,225.91744995117188,8153624
2015-05-18,227.26371237605755,230.91453506482958,226.35100670386456,230.4239501953125,5713304
2015-05-19,229.62534016720548,232.28360109425304,227.7428846573552,229.89915466308594,4786348
2015-05-20,230.37830159937187,234.29153232423852,230.35547560391993,233.66404724121094,4008840
2015-05-21,233.6526503208947,235.0217088188687,231.62187464485334,233.81236267089844,3934380
2015-05-22,233.81236339626622,234.79353313095143,232.36344871879533,233.7211151123047,4689536
2015-05-25,234.65660586804404,235.24985891340785,232.1922897059933,233.54994201660156,4369060
2015-05-26,233.7553144097465,235.06732878030556,232.29499372728094,234.42845153808594,4906344
2015-05-27,233.6070228362976,237.30348373365945,233.05940776836715,236.88136291503906,3218592
2015-05-28,237.08671941648097,238.14771748248373,233.24193839842675,234.8848114013672,9561160
2015-05-29,235.0102827976967,240.49793661035548,234.37140556058662,239.7107391357422,5058680
